[OK] 01-paginas-principales/home: texto(7103 chars), 29/29 imgs
[OK] 01-paginas-principales/clinica: texto(1406 chars), 17/17 imgs
[OK] 01-paginas-principales/contacto: texto(184 chars), 6/6 imgs
[OK] 01-paginas-principales/casos-reales: texto(1750 chars), 26/26 imgs
[OK] 02-servicios/odontologia-conservadora: texto(8427 chars), 22/22 imgs
[OK] 02-servicios/sedacion-consciente: texto(5352 chars), 21/21 imgs
[OK] 02-servicios/brackets: texto(5652 chars), 22/22 imgs
[OK] 02-servicios/blanqueamiento-dental: texto(4592 chars), 21/21 imgs
[OK] 02-servicios/implantes-dentales: texto(9328 chars), 22/22 imgs
[OK] 02-servicios/ortodoncia-invisible: texto(7533 chars), 22/22 imgs
[OK] 02-servicios/estetica-dental: texto(6623 chars), 22/22 imgs
[OK] 02-servicios/endodoncia: texto(6287 chars), 22/22 imgs
[OK] 02-servicios/periodoncia: texto(7139 chars), 22/22 imgs
[OK] 02-servicios/cirugia-oral: texto(6126 chars), 22/22 imgs
[OK] 02-servicios/odontopediatria: texto(6601 chars), 22/22 imgs
[OK] 03-blog/blog-index: texto(4496 chars), 26/26 imgs
[OK] 03-blog/oxido-nitroso: texto(2291 chars), 10/11 imgs
[OK] 03-blog/quien-es-candidato-para-implantes-dentales: texto(3726 chars), 9/9 imgs
[OK] 03-blog/como-funciona-la-odontologia-preventiva: texto(3242 chars), 9/9 imgs
[OK] 03-blog/implantes-dentales-todo-lo-que-necesitas-saber-antes-de-decidirte: texto(6896 chars), 9/9 imgs
[OK] 03-blog/implantes-dentales-vs-protesis-cual-es-la-mejor-opcion: texto(5882 chars), 9/9 imgs
[OK] 03-blog/mitos-y-realidades-sobre-los-implantes-dentales-que-debes-conocer: texto(5688 chars), 9/9 imgs
[OK] 03-blog/todo-lo-que-debes-saber-sobre-la-cirugia-de-implantes-dentales: texto(6919 chars), 9/9 imgs
[OK] 03-blog/que-resultados-puedes-esperar-con-los-implantes-dentales: texto(5838 chars), 9/9 imgs
[OK] 03-blog/la-revolucion-de-los-implantes-dentales-en-la-estetica-dental: texto(6368 chars), 9/9 imgs
[OK] 03-blog/implantes-dentales-y-salud-osea-lo-que-debes-saber: texto(5711 chars), 9/9 imgs
[OK] 03-blog/ortodoncia-invisible-todo-lo-que-debes-saber-antes-de-empezar: texto(8195 chars), 9/9 imgs
[OK] 03-blog/como-la-ortodoncia-mejora-la-mordida-la-estetica-y-la-salud: texto(8190 chars), 9/9 imgs
[OK] 03-blog/beneficios-de-la-ortodoncia-en-adolescentes-mas-alla-de-la-estetica: texto(7209 chars), 9/9 imgs
[OK] 03-blog/vale-la-pena-la-ortodoncia-invisible-te-lo-contamos-todo: texto(7223 chars), 9/9 imgs
[OK] 03-blog/7-cosas-que-nadie-te-cuenta-sobre-llevar-ortodoncia: texto(6196 chars), 9/9 imgs
[OK] 03-blog/sabias-que-la-ortodoncia-tambien-mejora-la-respiracion-y-el-sueno: texto(6530 chars), 9/9 imgs
[OK] 03-blog/tratamientos-de-estetica-dental-mas-innovadores-para-lograr-una-sonrisa-perfecta: texto(7382 chars), 9/9 imgs
[OK] 04-galeria/gallery-index: texto(483 chars), 22/22 imgs
[OK] 04-galeria/implantes-dentales: texto(180 chars), 9/10 imgs
[OK] 04-galeria/ortodoncia-invisible: texto(182 chars), 9/10 imgs
[OK] 04-galeria/endodoncia: texto(172 chars), 9/10 imgs
[OK] 04-galeria/periodoncia: texto(173 chars), 9/10 imgs
[OK] 04-galeria/brackets: texto(170 chars), 9/10 imgs
[OK] 04-galeria/cirugia-oral: texto(174 chars), 9/10 imgs
[OK] 04-galeria/salud-oral: texto(172 chars), 9/10 imgs
[OK] 04-galeria/estetica-dental: texto(177 chars), 9/10 imgs
[OK] 05-legal/aviso-legal: texto(7913 chars), 6/6 imgs
[OK] 05-legal/politica-de-cookies: texto(7061 chars), 6/6 imgs
[OK] 05-legal/politica-de-privacidad: texto(18601 chars), 6/6 imgs
